terrain_group_sha256,method_id,task_count,false_corridor_count,false_corridor_correction_count,false_corridor_correction_rate,reference_valid_route_count,reference_valid_route_abandonment_count,reference_valid_route_abandonment_rate,valid_lift_opportunity_count,valid_lift_abandonment_count,valid_lift_abandonment_rate
01a9df8a2028e15e4da2e9c83514cc33a0efe896f4ac1a14a9a881ab8c735a64,continuous_attenuation,2,0,0,,1,0,0.0,0,0,
01a9df8a2028e15e4da2e9c83514cc33a0efe896f4ac1a14a9a881ab8c735a64,hard_warning,2,0,0,,1,1,1.0,0,0,
01a9df8a2028e15e4da2e9c83514cc33a0efe896f4ac1a14a9a881ab8c735a64,matched_uniform,2,0,0,,1,0,0.0,0,0,
01a9df8a2028e15e4da2e9c83514cc33a0efe896f4ac1a14a9a881ab8c735a64,s_only,2,0,0,,1,0,0.0,0,0,
02dddff35bf95e0bd985154d6e64785d72bfd109a3bf9c435e063924ebe6bcdb,continuous_attenuation,1,0,0,,1,0,0.0,0,0,
02dddff35bf95e0bd985154d6e64785d72bfd109a3bf9c435e063924ebe6bcdb,hard_warning,1,0,0,,1,0,0.0,0,0,
02dddff35bf95e0bd985154d6e64785d72bfd109a3bf9c435e063924ebe6bcdb,matched_uniform,1,0,0,,1,0,0.0,0,0,
02dddff35bf95e0bd985154d6e64785d72bfd109a3bf9c435e063924ebe6bcdb,s_only,1,0,0,,1,0,0.0,0,0,
030358d398b84c036211c57bcf6a5c3f3304e035fed5a552accdb02eeb6b8fcf,continuous_attenuation,5,0,0,,5,0,0.0,0,0,
030358d398b84c036211c57bcf6a5c3f3304e035fed5a552accdb02eeb6b8fcf,hard_warning,5,0,0,,5,1,0.2,0,0,
030358d398b84c036211c57bcf6a5c3f3304e035fed5a552accdb02eeb6b8fcf,matched_uniform,5,0,0,,5,0,0.0,0,0,
030358d398b84c036211c57bcf6a5c3f3304e035fed5a552accdb02eeb6b8fcf,s_only,5,0,0,,5,0,0.0,0,0,
0693713dbc4b3cd9b5c493d5c7f069fd3c430103883772aada741311b13017eb,continuous_attenuation,1,0,0,,0,0,,0,0,
0693713dbc4b3cd9b5c493d5c7f069fd3c430103883772aada741311b13017eb,hard_warning,1,0,0,,0,0,,0,0,
0693713dbc4b3cd9b5c493d5c7f069fd3c430103883772aada741311b13017eb,matched_uniform,1,0,0,,0,0,,0,0,
0693713dbc4b3cd9b5c493d5c7f069fd3c430103883772aada741311b13017eb,s_only,1,0,0,,0,0,,0,0,
069b0ae373a06b21b09c0600139392414961290873e14f0c71d37bc18c65a688,continuous_attenuation,5,0,0,,2,0,0.0,0,0,
069b0ae373a06b21b09c0600139392414961290873e14f0c71d37bc18c65a688,hard_warning,5,0,0,,2,0,0.0,0,0,
069b0ae373a06b21b09c0600139392414961290873e14f0c71d37bc18c65a688,matched_uniform,5,0,0,,2,1,0.5,0,0,
069b0ae373a06b21b09c0600139392414961290873e14f0c71d37bc18c65a688,s_only,5,0,0,,2,0,0.0,0,0,
076be7be3eef52249232214c74aefd492f7352a58f765b36df7eceaa2795924e,continuous_attenuation,1,0,0,,1,0,0.0,0,0,
076be7be3eef52249232214c74aefd492f7352a58f765b36df7eceaa2795924e,hard_warning,1,0,0,,1,1,1.0,0,0,
076be7be3eef52249232214c74aefd492f7352a58f765b36df7eceaa2795924e,matched_uniform,1,0,0,,1,0,0.0,0,0,
076be7be3eef52249232214c74aefd492f7352a58f765b36df7eceaa2795924e,s_only,1,0,0,,1,0,0.0,0,0,
07871981eef5cfe0e0f97555edbf403c509388169ca4a643b656e9417d5bc608,continuous_attenuation,4,2,2,1.0,0,0,,0,0,
07871981eef5cfe0e0f97555edbf403c509388169ca4a643b656e9417d5bc608,hard_warning,4,2,2,1.0,0,0,,0,0,
07871981eef5cfe0e0f97555edbf403c509388169ca4a643b656e9417d5bc608,matched_uniform,4,2,1,0.5,0,0,,0,0,
07871981eef5cfe0e0f97555edbf403c509388169ca4a643b656e9417d5bc608,s_only,4,2,0,0.0,0,0,,0,0,
